vendor,order_date,order_number,item,qty,unit_price,line_total,category,build,flag,source,notes
RaceDayQuads,2023-10-30,736655,RDQ 5.8GHz U.FL Dipole FPV Antenna - Linear,1,2.99,2.99,vtx,,,18b808d9361751a0,
Pyrodrone,2023-11-13,376684,DOGCOM 300mAh 1S 4.35V HV 75C LiPo Battery - BT2.0,1,5.99,5.99,battery,,,18bc8a810f5201cf,
Pyrodrone,2023-11-13,376684,Lumenier AXII 2 Right-Angle Stubby 5.8GHz Antenna (RHCP),1,19.99,19.99,vtx,,,18bc8a810f5201cf,
GetFPV,2023-11-20,1001119034,Happymodel SuperX HD AIO - F411 FC +12A 1-2S BLHeli_S ESC + ELRS,1,0.0,0.0,esc,,?,18bed139c37f6749,"AIO FC+ESC+RX combo; $0 price, likely warranty replacement"
RaceDayQuads,2023-11-29,744067,"HappyModel SE 0702 26,000Kv Motor - CW",4,9.99,39.96,motor,,,18c1c3d2d8faa585,
RaceDayQuads,2023-11-29,744067,"HappyModel SE 0702 26,000Kv Motor - CCW",1,9.99,9.99,motor,,,18c1c3d2d8faa585,
RaceDayQuads,2023-12-13,746879,CNHL SpeedyPizza 3.8V 1S 350mAh 75C LiHV Battery 5 Pack - BT2.0,1,19.99,19.99,battery,,,18c647e54ffaf706,
Pyrodrone,2024-01-02,383211,HDZero MIPI Cable 40mm,1,6.00,6.00,misc,,,18ccbba99671c224,
Pyrodrone,2024-01-02,383211,HDZero Nano 90 FPV Camera By Runcam,1,64.99,64.99,cam,,,18ccbba99671c224,
RaceDayQuads,2024-02-16,759100,Mass Adhesive Electronic Goop,1,14.69,14.69,misc,,,18db42c08ef65be3,
RaceDayQuads,2024-02-16,759100,M3 Black Steel 280 Piece Nut & Bolt Kit,1,9.99,9.99,misc,,,18db42c08ef65be3,
RaceDayQuads,2024-02-16,759100,M2 Black Steel 280 Piece Nut & Bolt Kit,1,9.99,9.99,misc,,,18db42c08ef65be3,
RaceDayQuads,2024-02-23,760332,Hee Wing PNP T1 Ranger VTOL Twin-Motor Wing - Grey - Choose Version - VTOL-PNP w/ FC,1,338.99,338.99,misc,,?,18dd72728ea575a5,complete PNP flying wing bundle w/ RX below
RaceDayQuads,2024-02-23,760332,RadioMaster RP3 2.4GHz ELRS Nano Diversity Receiver,1,22.99,22.99,rx,,,18dd72728ea575a5,
RaceDayQuads,2024-02-25,760581,iFlight Succex-D to DJI Air Unit Cable,1,4.99,4.99,misc,,,18dddac337fec1ee,
RaceDayQuads,2024-03-10,762954,ViFly Short Saver 2 Smoke Stopper - XT30 & XT60,1,12.99,12.99,tool,,,18e25c2493ed7616,
RaceDayQuads,2024-03-13,763498,Shipping LP #762954,1,5.50,5.50,misc,,?,18e39730228b5554,
RaceDayQuads,2024-04-01,766339,Tattu 3.8V 1S 300mAh 75C LiHV Battery 5 Pack - Choose Version - BT2.0,1,21.99,21.99,battery,,,18e9aeeacd816d04,
RaceDayQuads,2024-04-22,769698,RunCam Thumb Pro 4k V2 HD Action Camera - Gyroflow Compatible,1,89.99,89.99,cam,,,18f06d23696fc1cf,
RaceDayQuads,2024-04-22,769698,DogCom 3.8V 1S 320mAh 75C LiHV Battery w/ Plastic Head - BT2.0,1,6.49,6.49,battery,,,18f06d23696fc1cf,
GetFPV,2024-06-05,1001283705,Squid Stick Wireless USB Simulator Dongle - ELRS 2.4GHz,1,44.99,44.99,misc,,?,18fea4e874f3046f,"simulator dongle, not an installed rx"
GetFPV,2024-06-30,1001291534,Gemfan 5'x5' Drone Racing Gate Fabric - Blue/Orange (No Poles),1,25.99,25.99,misc,,,1906a89caee39e1a,
GetFPV,2024-06-30,1001291534,Gemfan 5'x5' Drone Racing Gate Fabric - Red/Reflective Red,1,25.99,25.99,misc,,,1906a89caee39e1a,
