preset,rates_type,rc_rate_rpy,super_rate_rpy,expo_rpy,notes
house-race,BETAFLIGHT,95/80/80,70/70/70,0/0/0,"Shared 5-inch race rate: LS-Ultra HD, QAS JB, openracer2. Roll 633 deg/s, pitch/yaw 533."
whoop-race,BETAFLIGHT,100/100/100,70/70/70,0/0/0,"Shared whoop race rate: all five Mob6/Race5 whoops. Symmetric 667 deg/s on every axis."
